품목분류코드,품목명
161,건강보조식품/비타민 > 허브
162,건강보조식품/비타민 > 비타민
168,침구류/커튼 > 커튼
164,침구류/커튼 > 매트리스
166,침구류/커튼 > 이불
298,침구류/커튼 > 담요/모포
299,침구류/커튼 > 쿠션
300,침구류/커튼 > 베개
301,침구류/커튼 > 베개커버
167,침구류/커튼 > 침대덮개/커버
185,애완용품 > 애완용 소품류
186,애완용품 > 애완용 간식
187,애완용품 > 애완용 의류
190,자동차/자동차용품 > 자동차 타이어
189,자동차/자동차용품 > 자동차 오일류
193,자동차/자동차용품 > 기타자동차부품
